gene	TSP14__capillary endothelial cell	TSP14__CD4-positive, alpha-beta T cell	TSP14__CD8-positive, alpha-beta T cell	TSP14__endothelial cell	TSP14__endothelial cell of artery	TSP14__fibroblast	TSP14__macrophage	TSP14__mast cell	TSP14__natural killer cell	TSP14__neutrophil	TSP14__pericyte	TSP14__smooth muscle cell	TSP14__vein endothelial cell
BCL2	0	272.791893959172	293.277129530783	0	0	8.49101027139168	40.3704196745981	147.77054958716	37.7813025391067	0	17.6568636560671	0.0697495070453866	0
BCL2A1	0	164.410343708172	227.109421608606	0	0	0.100460308612957	365.975588871819	0	0	1509.10123674744	0	0.223842304839612	0
BCL2L1	0	51.5839440529143	83.0924064586641	52.1558137712017	0	27.7736615327848	121.343549280111	62.9179503974958	0	0	61.3310123571058	148.374661178702	0
BCL2L11	0	141.437659664585	201.894618953919	32.9685245359669	162.881520785593	23.9794982260986	1.24612482662909	361.72329483132	162.062619663829	0	0	0	0
BCL2L12	0	37.9828352506816	0	10.740963594962	0	25.124500865344	0	0	0	0	18.1979288176487	0	0
BCL2L13	0	4.62729962325782	0.91578716998937	59.956884268861	0	27.8718814414654	109.799813466117	0	226.591959480861	0	80.3942135924606	14.4866903966501	0.369542501601154
BCL2L14	0	0	0.103341329798409	0	0	0.00853224269682573	7.57269441254755	0	0	0	0	0	0
BCL2L15	0	0.115658836867876	0	29.4258289266525	0	0	0.143641089781848	0	0	0	0.0150180400153418	0	0
BCL2L2	0	0	0	1.55416642219605	200.970932821252	84.9638270444094	0	0	139.560849210047	0	114.214981108721	76.7613084270936	0
BCL3	67.5390302352201	63.8398829269124	45.113368774327	55.4755432374951	65.1881819682415	52.8180090262868	94.8080720032478	153.457701326786	0	0	46.8186990948362	0	43.3277781814147
BCL6	0	45.0791541962758	51.9816320904831	40.3552955691324	0	448.655447201491	409.014791982446	205.67602242327	0	6705.52803733695	532.524111762118	147.07870653331	0
BCL6B	0	0	0	107.444873895464	9.78450658416276	6.54855293655668	0	0	0	0	0	0	222.765158741356
BCL7A	0	0	0	0	0	14.6291842279021	0	0	0	0	0	0	0
BCL7B	345.441034716697	56.7899587848632	59.2511818396221	37.1218968520737	3.88995211563945	17.9332881043385	68.826657276517	382.735732830504	0	0	91.2637277373267	130.354018816584	0
BCL7C	0.185186914662005	48.9175559095558	37.0987065627571	43.2215364798385	0	31.0275037770304	41.2908653072922	0	0	0	5.00056544476312	36.4513979195557	0
BCL9	0	0	0	11.2441726999013	0	15.1382000266313	0	0	0	0	44.7569923958318	0	0
BCL9L	0	8.82588835304534	0	0	0	19.1776669813738	1.10876022197717	0	0	0	5.84134001610456	15.9826168057521	0
BCLAF1	182.322291296888	247.226323359022	445.429384924378	393.409898559751	147.660308829786	151.313023410476	289.486254460979	148.884980220127	240.020983846937	269.671792526011	198.98180492937	146.658548794544	217.04061338801
