gene	capillary.endothelial.cell	CD4.positive..alpha.beta.T.cell	CD8.positive..alpha.beta.T.cell	endothelial.cell	endothelial.cell.of.artery	fibroblast	macrophage	mast.cell	natural.killer.cell	neutrophil	pericyte	smooth.muscle.cell	vein.endothelial.cell
ABCA3	0	119.470919202397	45.1984318400172	1.34277840381589	0	10.7711623041811	40.3724267123737	0.102561756544514	0	0	0.827444172510104	0	0
ABCA5	0	35.0441270046408	183.888648905569	40.3811373012552	0	62.9243615546343	0.0659190414080926	0	36.7391522847644	0	142.398929695956	62.4689258557837	0
ABCA6	0	0	0.314796452910872	0	0	344.992353663525	13.6263348696281	0	0.603424755594516	0	0.0386847942739282	0	0
ABCA7	0	75.4722637509608	41.2635298385622	0	0	0	0.292843635996861	0.24492463872258	0	0	0	0	0
ABCA9	0	0	0	0.591727163209898	0	142.056791317766	11.2133781010115	0	0	0	0.0206985376871297	0	0
ABCB1	353.47540650262	8.77330386626807	2.81190479518259	118.01895985941	338.774201364676	0.0462487811379258	6.04356251070718	0	334.069729751714	0	0	0	72.3920492012636
ABCB10	0	0	70.7983078427146	21.502043166988	11.694491201826	30.9664005553877	84.7113875432992	0	0	0	0	51.3879004453205	287.653464303396
ABCB11	0	0.053217133155887	0	0	0	42.3513956532095	0.0982408036496845	0	0	0	0	0	0
ABCB4	3.16941751233524	0.0920187224074446	0	14.5250881631432	0.179682404679944	0.142219002111882	84.2128267772399	0	0	0	0	0.0817692858513471	0
ABCB5	0	0	1.56138864093046	5.91529177598081	0	11.587936226321	0	0	0	0	0	0	0
ABCB6	73.1455038861338	0	0	0	0	20.1496381162255	0	0	0	0	14.8945290630941	14.0923250300312	42.0426967922793
ABCB7	165.694726734501	50.4963302692099	35.8841865812347	108.311357089471	279.409290853955	56.4869433598333	19.0516098756283	451.601301711789	0	0	75.9306065072263	13.6538833198406	0
ABCB8	0	13.8114738345493	67.9011187152883	45.2090909990928	95.1930133207931	18.4077932797982	35.0761344718384	0	0	0	0	0	0
ABCB9	0	26.9696695912281	0.111127792495235	0	115.080282041809	1.50036566595786	0	0	0	0	5.80140858285564	0	0
ABCC1	0	71.0756681360961	93.7890330018826	42.9068755080572	147.422712481462	90.3974905718227	20.0223865204632	49.1360614896701	548.984227446823	0	12.3913673835622	55.215723979213	0
ABCC10	0	0	6.69032036935945	0	0	0.309464356594807	49.6452772638196	0	0	0	2.24284257969705	37.8951402824588	0
ABCC11	0	1.31325911755936	0	0	0	0.00868926295335031	0	0	0	0	0.27965688969694	0.212408894866689	0
ABCC13	0	0	0.118129851863275	0.276177995966845	0	0	18.5038075202485	0	0	0	0	0.019171561731054	0
ABCC2	0	0	5.86426165460618	3.99570541049091	0	97.1333578711392	0	30.9241016440778	0	302.460210044412	0	7.85166007232508	0
